,subject_id,trial_name,trial_nr,rating,rt,trial_name_as_jittered_number
2,5,a,2,22,25.487135171890262,0.028069227558176105
1,5,b,1,-50,26.60220408439636,0.9654741462924463
0,5,c,0,5,24.99423885345459,2.039872392734465
0,7,a,0,61,19.8951358795166,0.03369841117771487
1,7,b,1,54,11.161242961883543,0.9522233695189417
2,7,c,2,71,21.0197811126709,2.032175469592575
0,1,a,0,-32,32.8792929649353,-0.03061125990555447
1,1,b,1,-27,18.086593151092533,1.0483238279805744
2,1,c,2,-30,35.49578499794006,2.01778339329635
2,2,a,2,-12,26.445415019989014,-0.02023931480961521
0,2,b,0,-61,50.09744095802307,1.0006853794492003
1,2,c,1,25,17.394756078720093,2.010859444813844
2,6,a,2,-42,12.75295901298523,0.016378082073787548
1,6,b,1,-70,12.602935075759888,0.9952621388829415
0,6,c,0,26,9.936161994934082,2.030835457594008
1,8,a,1,45,7.5111329555511475,-0.025770102546543463
2,8,b,2,42,11.978049039840698,1.0128803446266712
0,8,c,0,14,16.344907999038696,2.009301739218574
1,9,a,1,-57,19.7453830242157,0.03318573120493326
0,9,b,0,-32,63.78171801567078,1.045174192929913
2,9,c,2,-58,20.161977052688602,2.049287198657472
2,10,a,2,16,9.2900071144104,-0.03348471484429302
1,10,b,1,15,10.931566953659058,0.9596480426174352
0,10,c,0,33,20.478050947189328,1.9516205434706364
0,3,a,0,37,17.228411197662357,-0.007557411884185156
1,3,b,1,-38,18.79506802558899,0.9920337318112002
2,3,c,2,52,9.244379997253418,1.956393531737383
1,4,a,1,-32,10.377681016921995,0.007653071338535877
0,4,b,0,5,30.17923903465271,1.0041347186742222
2,4,c,2,-30,29.90398716926575,1.9926375202894124
